iter	Logloss
116	0.3527830625
117	0.3523679929
118	0.3518624975
119	0.351343358
120	0.3509951171
121	0.3504683842
122	0.3499240441
123	0.349463444
124	0.3489233695
125	0.3482499404
126	0.3478112131
127	0.3470849624
128	0.3466477175
129	0.3459832734
130	0.3455183774
131	0.3452335162
132	0.3448631907
133	0.3446087337
134	0.344336246
135	0.343727316
136	0.3431566862
137	0.3428588163
138	0.3424910017
139	0.3422354859
140	0.3414460067
141	0.3409395432
142	0.3404488717
143	0.3397935338
144	0.3392197273
145	0.3385128083
146	0.3381134097
147	0.3376453069
148	0.3369735114
149	0.3365695446
150	0.3361095193
151	0.3358278045
152	0.3356294666
153	0.3348452211
154	0.334694713
155	0.3343380921
156	0.3341159754
157	0.3338832702
158	0.3336046714
159	0.3333200826
160	0.3329432527
161	0.3325139038
162	0.3323257308
163	0.3320733613
164	0.331656053
165	0.3314185982
166	0.3311543695
167	0.3309639881
168	0.3306378621
169	0.3303608062
170	0.3299968035
171	0.3296383673
172	0.3291047065
173	0.3285779736
174	0.328220808
175	0.3278733234
176	0.3276585582
177	0.3273451989
178	0.3267614998
179	0.3263564742
180	0.3258612345
181	0.3253415202
182	0.3252296148
183	0.3249000399
184	0.3244871486
185	0.3241524307
186	0.3238644535
187	0.3234116889
188	0.3232820553
189	0.3229498484
190	0.3223977636
191	0.322200787
192	0.3219382525
193	0.3214205955
194	0.3203664641
195	0.3201336681
196	0.3197829767
197	0.3195413469
198	0.3193359601
199	0.318617787
200	0.3182728739
201	0.3178463687
202	0.3174818215
203	0.3169951434
204	0.3167535741
205	0.3165898153
206	0.3162687717
207	0.3159480306
208	0.3155047654
209	0.315132776
210	0.3148879696
211	0.3143256593
212	0.3135575084
213	0.3131765036
214	0.3129226819
215	0.3125679366
216	0.3122871294
217	0.3119727414
218	0.3117264527
219	0.3113980274
220	0.3111678332
221	0.3105979597
222	0.3103367261
223	0.3098289314
224	0.3095365373
225	0.3093158123
226	0.3090694026
227	0.3088650444
228	0.3085951282
229	0.3082831604
230	0.3080570504
231	0.3077838064
232	0.3075524928
233	0.3073908819
234	0.3070817882
235	0.3069062308
236	0.3067534537
237	0.3063530266
238	0.3060604207
239	0.3058898549
240	0.3057020148
241	0.3054414467
242	0.3052304934
243	0.3050018421
244	0.3046410765
245	0.3040660297
246	0.3038570125
247	0.3034630293
248	0.3031892407
249	0.3026003078
250	0.3023855124
251	0.3021381345
252	0.3017912247
253	0.3014595321
254	0.3012521486
255	0.3010861208
256	0.3007491945
257	0.300613117
258	0.3004467262
259	0.3001628029
260	0.2996252091
261	0.2993346605
262	0.2990784186
263	0.2985699886
264	0.2983077566
265	0.2981059397
266	0.2979302914
267	0.2976842447
268	0.2973781763
269	0.2971902152
270	0.2968091801
271	0.2964954275
272	0.2961772882
273	0.2959676962
274	0.2957705684
275	0.2956334019
276	0.2954103776
277	0.2952057471
278	0.2950901811
279	0.2947856859
280	0.2944095215
281	0.2942935017
282	0.2941447483
283	0.2938960999
284	0.293771458
285	0.2935813489
286	0.293430871
287	0.2931428636
288	0.2928512561
289	0.292564489
290	0.2922321914
291	0.2920387847
292	0.2918334281
293	0.2917180739
294	0.2915136552
295	0.2911514374
296	0.2910116388
297	0.2907237827
298	0.290585164
299	0.2903531243
300	0.2901628337
301	0.2898439986
302	0.2897581712
303	0.2895874239
304	0.2890173688
305	0.2886271369
306	0.2884078338
307	0.2882637998
308	0.2879342249
309	0.2877661096
310	0.287415509
311	0.2872125727
312	0.2870201038
313	0.286804552
314	0.2866532876
315	0.2864438469
316	0.285993321
317	0.2857918671
318	0.2856412682
319	0.2854283787
320	0.2850044451
321	0.2847292648
322	0.2844918705
323	0.2840657889
324	0.2839017578
325	0.2837984442
326	0.2836302684
327	0.2833372995
328	0.2831980757
329	0.2828530114
330	0.2825161455
331	0.2823255221
332	0.2821469091
333	0.2815769145
334	0.2814094648
335	0.2812620425
336	0.2811455084
337	0.2809369753
338	0.2807048752
339	0.280329679
340	0.2800606703
341	0.2799631956
342	0.2798807262
343	0.279708194
344	0.2795458873
345	0.2792518595
346	0.2790534309
347	0.2788710665
348	0.2788047522
349	0.2784203591
350	0.2782768999
351	0.2781640567
352	0.2779954271
353	0.2778652187
354	0.2776610117
355	0.277375606
356	0.2772843634
357	0.2770433689
358	0.2769398133
359	0.2767223858
360	0.2765086795
361	0.2761314865
362	0.2760727052
363	0.2758871945
364	0.275595466
365	0.275391138
366	0.2748576587
367	0.2747678076
368	0.2745346487
369	0.2744666099
370	0.2744036234
371	0.2742860607
372	0.2740241918
373	0.2738077324
374	0.2736938908
375	0.27342582
376	0.2732806364
377	0.2728395192
378	0.2727575036
379	0.272682416
380	0.2722609933
381	0.2721728969
382	0.2717905912
383	0.2716484632
384	0.2715740109
385	0.2713898918
386	0.2712334542
387	0.2710098551
388	0.2708888436
389	0.2707160391
390	0.2704519012
391	0.2700415209
392	0.269814231
393	0.2696531949
394	0.2695430139
395	0.2693275529
396	0.2691312117
397	0.2688432042
398	0.2687243104
399	0.2684484646
400	0.2683774913
401	0.2680998909
402	0.2679930377
403	0.2678432255
404	0.2676247996
405	0.2672302416
406	0.2670672995
407	0.2669524898
408	0.2668541075
409	0.266723415
410	0.2665729069
411	0.2662083597
412	0.2658294726
413	0.2656712198
414	0.2655101534
415	0.2653698708
416	0.2652759356
417	0.2651410078
418	0.2650321882
419	0.2648782615
420	0.2647379184
421	0.2645831749
422	0.2644326668
423	0.2641683474
424	0.264057168
425	0.2639327984
426	0.2638512972
427	0.2636742573
428	0.2634512936
429	0.263206457
430	0.2630244556
431	0.2629063786
432	0.2628082685
433	0.26268402
434	0.2621851802
435	0.2619875381
436	0.261713084
437	0.2614963221
438	0.2613257261
439	0.2610936865
440	0.2609922485
441	0.2607884349
442	0.2607085068
443	0.2605403612
444	0.2604233431
445	0.260041703
446	0.2596633907
447	0.259485655
448	0.2591720536
449	0.2590205775
450	0.2588751821
451	0.2588015466
452	0.2584156711
453	0.2583289966
454	0.2582606251
455	0.2581199492
456	0.2579374033
457	0.2577048191
458	0.2575106259
459	0.2572046482
460	0.2571111366
461	0.2569073532
462	0.256848118
463	0.2567352748
464	0.2566140817
465	0.2563681258
466	0.2562454806
467	0.2560872883
468	0.2559645221
469	0.25589249
470	0.2557519048
471	0.2555301815
472	0.2553211945
473	0.2552045697
474	0.2549488421
475	0.2546382962
476	0.2544920538
477	0.2542704514
478	0.2541294125
479	0.2540118498
480	0.2539079614
481	0.2537133598
482	0.2534412805
483	0.2532016776
484	0.2530443929
485	0.252993916
486	0.2528878342
487	0.2527466592
488	0.2525494406
489	0.2524431774
490	0.2523647922
491	0.2522326173
492	0.2520521589
493	0.2518863882
494	0.2517172595
495	0.2513672639
496	0.2511979385
497	0.2509965602
498	0.2507056333
499	0.2506533715
500	0.2504949825
501	0.2504091551
502	0.2503268068
503	0.2501868569
504	0.249990788
505	0.249812538
506	0.2496713176
507	0.2495958064
508	0.2493593498
509	0.2492995399
510	0.2492466276
511	0.2491378987
512	0.24901244
513	0.2488291227
514	0.2487594049
515	0.248636306
516	0.2485161113
517	0.2482562995
518	0.2481118117
519	0.2478896043
520	0.2476712239
521	0.247586183
522	0.247354567
523	0.2472859081
524	0.2471739119
525	0.2470895064
526	0.2468900189
527	0.2467923928
528	0.2467021333
529	0.2465520337
530	0.2463655246
531	0.246252273
532	0.246151304
533	0.2460762163
534	0.2458054833
535	0.245681386
536	0.2456129842
537	0.2454190935
538	0.2453084738
539	0.2451206942
540	0.2450404787
541	0.2449494175
542	0.2447798803
543	0.2447279059
544	0.2445637689
545	0.2443418489
546	0.2441566407
547	0.2439944096
548	0.2438971466
549	0.2438399838
550	0.2436112418
551	0.2432808803
552	0.2432096953
553	0.243157509
554	0.2430835559
555	0.2428596845
556	0.2427854893
557	0.242698361
558	0.242590207
559	0.2424544623
560	0.242149362
561	0.2419664531
562	0.2419114231
563	0.2413937509
564	0.2411784865
565	0.2410292793
566	0.2408589858
567	0.2408078887
568	0.2406630833
569	0.2405154038
570	0.2403460028
571	0.240235958
572	0.2400765555
573	0.2399514296
574	0.239860792
575	0.2398017383
576	0.2397270289
577	0.2395796519
578	0.2394879555
579	0.2394181015
580	0.2392326514
581	0.2388809768
582	0.238782912
583	0.2387189272
584	0.2386380461
585	0.238530724
586	0.2384265028
587	0.2382294658
588	0.2380575841
589	0.237911266
590	0.2378190703
591	0.2376955629
592	0.2376516963
593	0.2374523903
594	0.2373065714
595	0.2372041049
596	0.2369239481
597	0.2367080484
598	0.236618757
599	0.2364869301
600	0.2362670824
601	0.2362166962
602	0.2361271628
603	0.2360277518
604	0.2359801489
605	0.2358113832
606	0.2357820833
607	0.2357072982
608	0.235588011
609	0.2355364299
610	0.2353043449
611	0.2350468324
612	0.2349240057
613	0.2348740884
614	0.234614791
615	0.2343759596
616	0.2341987079
617	0.2340902362
618	0.2338333893
619	0.233467874
620	0.2334141146
621	0.2332559071
622	0.2331726058
623	0.2330637106
624	0.2329383275
625	0.2327956095
626	0.2326238185
627	0.232515604
628	0.2324326203
629	0.2323097634
630	0.2322210922
631	0.2319497692
632	0.2318459564
633	0.2317822741
634	0.2316386032
635	0.23154969
636	0.2313886085
637	0.2312896513
638	0.2311754316
639	0.231022594
640	0.2308882107
641	0.2306789515
642	0.2305268552
643	0.2303640493
644	0.2302013493
645	0.2298970204
646	0.2298035844
647	0.2297472233
648	0.2295998766
649	0.2294390977
650	0.2293015832
651	0.2291866071
652	0.2290424975
653	0.2289793446
654	0.2288656543
655	0.2285817007
656	0.2285152805
657	0.2284059769
658	0.2283129795
659	0.2281960975
660	0.2281111323
661	0.2279618343
662	0.2278671276
663	0.2278093144
664	0.2276454648
665	0.2275745369
666	0.22748458
667	0.2272788604
668	0.2271965423
669	0.2271337675
670	0.2269914882
671	0.2267557275
672	0.22644857
673	0.2262732243
674	0.2261326089
675	0.2260573549
676	0.2259567338
677	0.2259172538
678	0.2258620271
679	0.2257885126
680	0.2256213655
681	0.2255573352
682	0.2254775735
683	0.2254218326
684	0.2252828811
685	0.2252264141
686	0.2250612636
687	0.2248741949
688	0.2247403108
689	0.2246569187
690	0.2245469344
691	0.2243091316
692	0.2241354347
693	0.2240577604
